id,category,name,latitude,longitude
1,0,사랑하는 인형들,38.199626,128.545191
2,0,호수공원에서지킬일,38.204468,128.538754
3,0,아바이갤러리,38.204958,128.588371
4,1,주차장벽손바닥,38.205288,128.58791
5,0,영화감독,38.202774,128.593004
6,1,"The Bull, Sokcho",38.203867,128.5912
7,0,Couple Statue,38.20296,128.592957
8,0,지중변압기,38.20423,128.59167
9,0,Sokcho City Market,38.204166,128.591388
10,0,속초관광수산시장입구,38.204784,128.588536
11,0,속초관광수산시장마스코트,38.205151,128.588772
12,0,Sokcho Fishing Monument,38.20263,128.590548
13,1,Sokcho Bus Terminal for Gangwon Province,38.211154,128.591123
14,0,속초감리교회,38.207873,128.594022
15,0,믿음제일교회,38.211573,128.58904
16,0,Sokcho Memorial Statue,38.210273,128.593354
17,0,속초 우리들교회,38.206531,128.588447
18,1,Seorak 2005 Memorial Sone,38.207236,128.592816
19,0,비석,38.206738,128.578453
20,1,정자,38.211833,128.584895
21,0,Mirror Lake,38.212137,128.584411
22,0,속초관광수산시장,38.208359,128.586842
23,0,진실의 입,38.202027,128.58696
24,0,Love Phase,38.201946,128.587493
25,0,영랑호 소환소,38.2146,128.575354
26,0,샬롬교회,38.214898,128.590525
27,0,Club,38.213456,128.581752
28,0,단청,38.211403,128.600746
29,0,영금정설명,38.21196,128.601083
30,1,영금정 해맞이 정자,38.21187,128.60146
31,0,동명해교 비석,38.212078,128.601348
32,0,Lake Shrine,38.215451,128.582569
33,0,아바이마을,38.200875,128.594867
34,0,동명항등대,38.206136,128.599891
35,1,동명항빨간등대,38.203539,128.603128
36,0,동명항하얀등대,38.201903,128.60056
37,0,만천 교회,38.198393,128.571389
38,0,Sunrise Sculpture,38.197814,128.578943
39,0,Church of Sokcho,38.198051,128.581947
40,0,Sokcho Beach Sculpture Sea and Land,38.190424,128.602767
41,0,To Sokcho Beach,38.190201,128.599325
42,0,Marine Sculptures along the Sokcho Coastline 7,38.189723,128.603881
43,0,Sokcho Forefather,38.190328,128.601795
44,0,Marine Sculptures Along the Sokcho Coastline 9,38.190033,128.604021
45,1,Goddess of Sokcho Beach,38.190649,128.603651
